dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,cumulative_cases,cumulative_deaths
2020-01-25,25,1,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-01-25,25,1,2020,3,0,France,fr,FRA,67012883,Europe,0.00447675,3,0
2020-01-25,25,1,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-01-26,26,1,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-01-26,26,1,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-01-26,26,1,2020,0,0,France,fr,FRA,67012883,Europe,0.00447675,3,0
2020-01-26,26,1,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-01-27,27,1,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-01-27,27,1,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-01-27,27,1,2020,0,0,France,fr,FRA,67012883,Europe,0.00447675,3,0
2020-01-27,27,1,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-01-28,28,1,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-01-28,28,1,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-01-28,28,1,2020,0,0,France,fr,FRA,67012883,Europe,0.00447675,3,0
2020-01-28,28,1,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-01-29,29,1,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-01-29,29,1,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-01-29,29,1,2020,1,0,France,fr,FRA,67012883,Europe,0.005969,4,0
2020-01-29,29,1,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-01-30,30,1,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-01-30,30,1,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-01-30,30,1,2020,1,0,France,fr,FRA,67012883,Europe,0.00746125,5,0
2020-01-30,30,1,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-01-31,31,1,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-01-31,31,1,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-01-31,31,1,2020,1,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-01-31,31,1,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-01,1,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-01,1,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-01,1,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-02-01,1,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-02,2,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-02,2,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-02,2,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-02-02,2,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-03,3,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-03,3,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-03,3,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-02-03,3,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-04,4,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-04,4,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-04,4,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-02-04,4,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-05,5,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-05,5,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-05,5,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-02-05,5,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-06,6,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-06,6,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-06,6,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-02-06,6,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-07,7,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-07,7,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-07,7,2,2020,0,0,France,fr,FRA,67012883,Europe,0.0089535,6,0
2020-02-07,7,2,2020,0,0,Nigeria,ng,NGA,200963603,Africa,0,0,0
2020-02-08,8,2,2020,0,0,Algeria,dz,DZA,43053054,Africa,0,0,0
2020-02-08,8,2,2020,0,0,Egypt,eg,EGY,100388076,Africa,0,0,0
2020-02-08,8,2,2020,5,0,France,fr,FRA,67012883,Europe,0.011938,11,0
